Unnamed: 0,topic,app,received_count,message_sent,dropping,percentage
0,topic_topic1,app_app1,283,300,17,5.666666666666666
1,topic_topic1,app_app3,283,300,17,5.666666666666666
2,topic_topic1,app_app5,300,300,0,0.0
3,topic_topic1,app_app7,300,300,0,0.0
4,topic_topic10,app_app11,2991,3000,9,0.3
5,topic_topic10,app_app9,2991,3000,9,0.3
6,topic_topic11,app_app12,600,600,0,0.0
7,topic_topic11,app_app15,592,600,8,1.3333333333333335
8,topic_topic11,app_app8,600,600,0,0.0
9,topic_topic12,app_app10,900,900,0,0.0
10,topic_topic12,app_app2,850,900,50,5.555555555555555
11,topic_topic12,app_app9,900,900,0,0.0
12,topic_topic13,app_app10,1199,1200,1,0.08333333333333334
13,topic_topic13,app_app11,1199,1200,1,0.08333333333333334
14,topic_topic13,app_app12,1199,1200,1,0.08333333333333334
15,topic_topic14,app_app1,1429,1500,71,4.733333333333333
16,topic_topic14,app_app13,1476,1500,24,1.6
17,topic_topic14,app_app16,1476,1500,24,1.6
18,topic_topic14,app_app5,1498,1500,2,0.13333333333333333
19,topic_topic15,app_app15,296,300,4,1.3333333333333335
20,topic_topic15,app_app6,300,300,0,0.0
21,topic_topic16,app_app16,2068,2100,32,1.5238095238095237
22,topic_topic16,app_app3,2006,2100,94,4.476190476190476
23,topic_topic16,app_app4,2006,2100,94,4.476190476190476
24,topic_topic17,app_app10,2394,2400,6,0.25
25,topic_topic17,app_app16,2331,2400,69,2.875
26,topic_topic17,app_app7,2394,2400,6,0.25
27,topic_topic18,app_app10,2696,2700,4,0.14814814814814814
28,topic_topic18,app_app12,2696,2700,4,0.14814814814814814
29,topic_topic19,app_app13,2938,3000,62,2.0666666666666664
30,topic_topic19,app_app2,2874,3000,126,4.2
31,topic_topic19,app_app5,2990,3000,10,0.33333333333333337
32,topic_topic2,app_app1,572,600,28,4.666666666666667
33,topic_topic2,app_app13,593,600,7,1.1666666666666667
34,topic_topic2,app_app15,593,600,7,1.1666666666666667
35,topic_topic2,app_app7,600,600,0,0.0
36,topic_topic2,app_app9,600,600,0,0.0
37,topic_topic20,app_app14,295,300,5,1.6666666666666667
38,topic_topic20,app_app6,300,300,0,0.0
39,topic_topic21,app_app1,866,900,34,3.7777777777777777
40,topic_topic21,app_app4,866,900,34,3.7777777777777777
41,topic_topic21,app_app8,901,900,-1,-0.1111111111111111
42,topic_topic22,app_app2,1159,1200,41,3.4166666666666665
43,topic_topic22,app_app5,1199,1200,1,0.08333333333333334
44,topic_topic22,app_app9,1199,1200,1,0.08333333333333334
45,topic_topic23,app_app13,1468,1500,32,2.1333333333333333
46,topic_topic23,app_app3,1416,1500,84,5.6000000000000005
47,topic_topic24,app_app14,1778,1800,22,1.2222222222222223
48,topic_topic24,app_app15,1778,1800,22,1.2222222222222223
49,topic_topic25,app_app16,2069,2100,31,1.4761904761904763
50,topic_topic25,app_app7,2109,2100,-9,-0.4285714285714286
51,topic_topic26,app_app1,2253,2400,147,6.125
52,topic_topic26,app_app11,2393,2400,7,0.2916666666666667
53,topic_topic26,app_app6,2393,2400,7,0.2916666666666667
54,topic_topic27,app_app3,2560,2700,140,5.185185185185185
55,topic_topic27,app_app4,2560,2700,140,5.185185185185185
56,topic_topic28,app_app14,2941,3000,59,1.9666666666666666
57,topic_topic28,app_app8,2991,3000,9,0.3
58,topic_topic29,app_app11,300,300,0,0.0
59,topic_topic29,app_app9,300,300,0,0.0
60,topic_topic3,app_app2,851,900,49,5.444444444444444
61,topic_topic3,app_app3,851,900,49,5.444444444444444
62,topic_topic30,app_app15,884,900,16,1.7777777777777777
63,topic_topic30,app_app16,884,900,16,1.7777777777777777
64,topic_topic30,app_app7,901,900,-1,-0.1111111111111111
65,topic_topic4,app_app13,1179,1200,21,1.7500000000000002
66,topic_topic4,app_app3,1148,1200,52,4.333333333333334
67,topic_topic5,app_app14,1468,1500,32,2.1333333333333333
68,topic_topic5,app_app4,1406,1500,94,6.266666666666667
69,topic_topic5,app_app6,1498,1500,2,0.13333333333333333
70,topic_topic6,app_app11,1804,1800,-4,-0.2222222222222222
71,topic_topic6,app_app4,1708,1800,92,5.111111111111112
72,topic_topic7,app_app12,2108,2100,-8,-0.38095238095238093
73,topic_topic7,app_app5,2108,2100,-8,-0.38095238095238093
74,topic_topic7,app_app8,2108,2100,-8,-0.38095238095238093
75,topic_topic8,app_app14,2336,2400,64,2.666666666666667
76,topic_topic8,app_app6,2394,2400,6,0.25
77,topic_topic9,app_app2,2565,2700,135,5.0
78,topic_topic9,app_app7,2696,2700,4,0.14814814814814814
79,topic_topic9,app_app8,2696,2700,4,0.14814814814814814
