Unnamed: 0,topic,app,received_count,message_sent,dropping,percentage
0,topic_topic1,app_app1,287,300,13,4.333333333333334
1,topic_topic1,app_app3,287,300,13,4.333333333333334
2,topic_topic1,app_app5,300,300,0,0.0
3,topic_topic1,app_app7,300,300,0,0.0
4,topic_topic10,app_app11,2991,3000,9,0.3
5,topic_topic10,app_app9,2991,3000,9,0.3
6,topic_topic11,app_app12,600,600,0,0.0
7,topic_topic11,app_app15,589,600,11,1.8333333333333333
8,topic_topic11,app_app8,600,600,0,0.0
9,topic_topic12,app_app10,901,900,-1,-0.1111111111111111
10,topic_topic12,app_app2,869,900,31,3.4444444444444446
11,topic_topic12,app_app9,901,900,-1,-0.1111111111111111
12,topic_topic13,app_app10,1199,1200,1,0.08333333333333334
13,topic_topic13,app_app11,1199,1200,1,0.08333333333333334
14,topic_topic13,app_app12,1199,1200,1,0.08333333333333334
15,topic_topic14,app_app1,1425,1500,75,5.0
16,topic_topic14,app_app13,1472,1500,28,1.866666666666667
17,topic_topic14,app_app16,1472,1500,28,1.866666666666667
18,topic_topic14,app_app5,1498,1500,2,0.13333333333333333
19,topic_topic15,app_app15,297,300,3,1.0
20,topic_topic15,app_app6,300,300,0,0.0
21,topic_topic16,app_app16,2074,2100,26,1.2380952380952381
22,topic_topic16,app_app3,2000,2100,100,4.761904761904762
23,topic_topic16,app_app4,2000,2100,100,4.761904761904762
24,topic_topic17,app_app10,2394,2400,6,0.25
25,topic_topic17,app_app16,2352,2400,48,2.0
26,topic_topic17,app_app7,2394,2400,6,0.25
27,topic_topic18,app_app10,2696,2700,4,0.14814814814814814
28,topic_topic18,app_app12,2696,2700,4,0.14814814814814814
29,topic_topic19,app_app13,2928,3000,72,2.4
30,topic_topic19,app_app2,2847,3000,153,5.1
31,topic_topic19,app_app5,2991,3000,9,0.3
32,topic_topic2,app_app1,571,600,29,4.833333333333333
33,topic_topic2,app_app13,592,600,8,1.3333333333333335
34,topic_topic2,app_app15,592,600,8,1.3333333333333335
35,topic_topic2,app_app7,600,600,0,0.0
36,topic_topic2,app_app9,600,600,0,0.0
37,topic_topic20,app_app14,293,300,7,2.3333333333333335
38,topic_topic20,app_app6,300,300,0,0.0
39,topic_topic21,app_app1,854,900,46,5.111111111111112
40,topic_topic21,app_app4,854,900,46,5.111111111111112
41,topic_topic21,app_app8,901,900,-1,-0.1111111111111111
42,topic_topic22,app_app2,1144,1200,56,4.666666666666667
43,topic_topic22,app_app5,1199,1200,1,0.08333333333333334
44,topic_topic22,app_app9,1199,1200,1,0.08333333333333334
45,topic_topic23,app_app13,1467,1500,33,2.1999999999999997
46,topic_topic23,app_app3,1433,1500,67,4.466666666666667
47,topic_topic24,app_app14,1771,1800,29,1.6111111111111112
48,topic_topic24,app_app15,1771,1800,29,1.6111111111111112
49,topic_topic25,app_app16,2061,2100,39,1.8571428571428572
50,topic_topic25,app_app7,2109,2100,-9,-0.4285714285714286
51,topic_topic26,app_app1,2276,2400,124,5.166666666666667
52,topic_topic26,app_app11,2393,2400,7,0.2916666666666667
53,topic_topic26,app_app6,2393,2400,7,0.2916666666666667
54,topic_topic27,app_app3,2569,2700,131,4.851851851851851
55,topic_topic27,app_app4,2569,2700,131,4.851851851851851
56,topic_topic28,app_app14,2934,3000,66,2.1999999999999997
57,topic_topic28,app_app8,2990,3000,10,0.33333333333333337
58,topic_topic29,app_app11,300,300,0,0.0
59,topic_topic29,app_app9,300,300,0,0.0
60,topic_topic3,app_app2,855,900,45,5.0
61,topic_topic3,app_app3,855,900,45,5.0
62,topic_topic30,app_app15,884,900,16,1.7777777777777777
63,topic_topic30,app_app16,884,900,16,1.7777777777777777
64,topic_topic30,app_app7,901,900,-1,-0.1111111111111111
65,topic_topic4,app_app13,1182,1200,18,1.5
66,topic_topic4,app_app3,1134,1200,66,5.5
67,topic_topic5,app_app14,1464,1500,36,2.4
68,topic_topic5,app_app4,1421,1500,79,5.266666666666667
69,topic_topic5,app_app6,1498,1500,2,0.13333333333333333
70,topic_topic6,app_app11,1804,1800,-4,-0.2222222222222222
71,topic_topic6,app_app4,1699,1800,101,5.611111111111111
72,topic_topic7,app_app12,2109,2100,-9,-0.4285714285714286
73,topic_topic7,app_app5,2109,2100,-9,-0.4285714285714286
74,topic_topic7,app_app8,2109,2100,-9,-0.4285714285714286
75,topic_topic8,app_app14,2333,2400,67,2.7916666666666665
76,topic_topic8,app_app6,2394,2400,6,0.25
77,topic_topic9,app_app2,2579,2700,121,4.481481481481482
78,topic_topic9,app_app7,2696,2700,4,0.14814814814814814
79,topic_topic9,app_app8,2696,2700,4,0.14814814814814814
